wallet,score,total_tx,deposit_count,borrow_count,repay_count,liquidation_count,borrow_to_deposit,repay_to_borrow,active_days,avg_usd_deposit,avg_usd_borrow
0x00099b1263c22ae2ce0a52624cef2a012e751970,503,2,2,0,0,0,0.0,0.0,7.811921296296297,5.290736716536144e+17,0.0
0x0009ce45d5df78e632a0b4987079432dfba2253a,500,1,1,0,0,0,0.0,0.0,0.0,3.2446847156000052e+16,0.0
0x000a27ba176083e4b50177378cbe7469a00dd557,511,12,4,2,2,0,0.4,0.6666666666666666,33.186087962962965,69471249.30983977,80193155.01901871
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,511,43,18,8,5,0,0.42105263157894735,0.5555555555555556,25.913368055555555,1.0737021716969144e+21,9.195580206621761e+18
0x000ab43e658935ba39504a1424b01756c1e9644c,496,2,1,1,0,0,0.5,0.0,0.0005092592592592592,1.1365237938343968e+17,1.1365237938343968e+16
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,542,77,49,0,0,0,0.0,0.0,123.26833333333333,5.581868254662459e+18,0.0
0x000c8e2871750f458bf1de8ab528dda09bc95db6,498,4,1,1,1,0,0.5,0.5,0.0006944444444444445,5.480588573862458e+21,2.366767191230522e+21
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,521,71,20,20,17,0,0.9523809523809523,0.8095238095238095,66.14396990740741,9.380531520166087e+18,48193825.73396565
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,511,6,4,1,1,0,0.2,0.5,30.66425925925926,7.052640940062632e+19,40102676.334020846
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,500,1,1,0,0,0,0.0,0.0,0.0,1218108806215370.8,0.0
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,500,1,1,0,0,0,0.0,0.0,0.0,1.3920558505203293e+17,0.0
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,517,8,1,3,2,0,1.5,0.5,80.57099537037037,7.604061861653314e+20,295574826.35693663
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,508,8,6,0,0,0,0.0,0.0,20.31818287037037,1.1756662223865039e+21,0.0
0x000e840a3122ec28d0c29321db172375cb049762,510,10,5,2,2,0,0.3333333333333333,0.6666666666666666,26.296134259259258,1.400380167378562e+20,108412851.84458235
0x000e9bd1d42999446d60ff60f1fb3afb13604202,499,22,8,6,4,0,0.6666666666666666,0.5714285714285714,1.9734722222222223,8.331765476276619e+18,5771826.025983476
0x000eab293e332bd6e67018a9150e8807bfac3233,500,1,1,0,0,0,0.0,0.0,0.0,1.097254760600487e+18,0.0
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,505,2,1,0,0,0,0.0,0.0,15.675266203703703,1.0237738923188868e+20,0.0
